Datetime,Tweet Id,Tweet,Username,Language,English,Sentiment,Composes,Tweet_clean,Tweet_preprocessed,Clean_Sentence
2022-12-30 14:36:04+00:00,1608834307761786887,NARASI RESESI VS OPTIMISME EKONOMI 2023 https://t.co/PbCz681zXE via @Nawacita,nawacitadotco,in,NARRATIVE OF RECESSION VS ECONOMIC OPTIMISM 2023 https://t.co/PbCz681zXE via @Nawacita,Positive,"{'neg': 0.224, 'neu': 0.507, 'pos': 0.268, 'compound': 0.1779}",narasi resesi vs optimisme ekonomi via,"['narasi', 'resesi', 'vs', 'optimisme', 'ekonomi', 'via']",narasi resesi vs optimisme ekonomi via
2022-12-30 14:24:37+00:00,1608831426165870593,"Rumah Zakat Buat Strategi Tahun 2023, 'untuk Keluar dari Kemiskinan dan Ancaman Resesi Ekonomi' https://t.co/QglRmXlFxR",RiaupagiSurya,in,"Rumah Zakat Creates Strategy for 2023, 'to Get Out of Poverty and Threat of Economic Recession' https://t.co/QglRmXlFxR",Negative,"{'neg': 0.386, 'neu': 0.528, 'pos': 0.085, 'compound': -0.8126}",rumah zakat buat strategi tahun untuk keluar dari kemiskinan dan ancaman resesi ekonomi,"['rumah', 'zakat', 'strategi', 'miskin', 'ancam', 'resesi', 'ekonomi']",rumah zakat strategi miskin ancam resesi ekonomi
2022-12-30 14:03:04+00:00,1608826004906332160,"2023 sudah dibayangi adanya Resesi Global. 
Bagaimana gambaran dari 2022 ke 2023?
Seperti apa Proyeksi dan Tantangan Resesi Global?
Simak dan ikuti, “Ekonomi Bisnis Outlook 2023”
Hanya di City Guide 911 FM
Saksikan secara visual, di Web, aplikasi dan kanal Youtube

@mustamuronny https://t.co/qAw1dOF68S",cityguide911fm,in,"2023 is already overshadowed by a Global Recession.
What does the picture look like from 2022 to 2023?
What are the Projections and Challenges of a Global Recession?
Listen and follow, “Business Economics Outlook 2023”
Only on City Guide 911 FM
Watch it visually, on the Web, applications and YouTube channels

@mustamuronny https://t.co/qAw1dOF68S",Negative,"{'neg': 0.101, 'neu': 0.834, 'pos': 0.065, 'compound': -0.4871}",sudah dibayangi adanya resesi global bagaimana gambaran dari ke seperti apa proyeksi dan tantangan resesi global simak dan ikuti “ekonomi bisnis outlok ” hanya di city guide fm saksikan secara visual di web aplikasi dan kanal youtube,"['bayang', 'resesi', 'global', 'gambar', 'proyeksi', 'tantang', 'resesi', 'global', 'simak', 'ikut', '', 'ekonomi', 'bisnis', 'outlok', '', 'city', 'guide', 'fm', 'saksi', 'visual', 'web', 'aplikasi', 'kanal', 'youtube']",bayang resesi global gambar proyeksi tantang resesi global simak ikut  ekonomi bisnis outlok  city guide fm saksi visual web aplikasi kanal youtube
2022-12-30 10:42:06+00:00,1608775427744763905,Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/TiB9IkWszg,DipaDuaLima,in,President Jokowi ensures that Indonesia's economic condition is stable and ready to face a recession in 2023 #JokowiPresidenku #PembangunanuntukPeople #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastructure https://t.co/TiB9IkWszg,Positive,"{'neg': 0.098, 'neu': 0.737, 'pos': 0.165, 'compound': 0.2263}",presiden jokowi pastikan kondisi ekonomi indonesia stabil dan siap hadapi resesi,"['presiden', 'pasti', 'kondisi', 'ekonomi', 'indonesia', 'stabil', 'hadap', 'resesi']",presiden pasti kondisi ekonomi indonesia stabil hadap resesi
2022-12-30 10:28:22+00:00,1608771971394994176,@lix_lee007 😂😂😂😂😂😂 enel ugaaa ..... resesi ekonomi 2023 di mulai dr sekarang 😂,noonathel,in,@lix_lee007 😂😂😂😂😂😂 Enel also..... the 2023 economic recession starts from now 😂,Positive,"{'neg': 0.221, 'neu': 0.413, 'pos': 0.366, 'compound': 0.9477}",le 😂 enel uga resesi ekonomi di mulai dr sekarang 😂,"['le', '', 'enel', 'uga', 'resesi', 'ekonomi', '']",le  enel uga resesi ekonomi 
2022-12-30 10:03:50+00:00,1608765798025408514,Vietnam tak terdampak resesi ekonomi yang kata Pak Luhut BP @kemenkomarves ancam dunia. Apa karena ancamannya pada 2023? :),basoamir,in,Vietnam is not affected by the economic recession that Mr. Luhut BP @kemenkomarves said threatens the world. Is it because of the threat in 2023? :),Negative,"{'neg': 0.257, 'neu': 0.613, 'pos': 0.13, 'compound': -0.6549}",vietnam tak terdampak resesi ekonomi yang kata pak luhut bp ancam dunia apa karena ancamanya pada,"['vietnam', 'dampak', 'resesi', 'ekonomi', 'ancam', 'dunia', 'ancamanya']",vietnam dampak resesi ekonomi ancam dunia ancamanya
2022-12-30 09:54:50+00:00,1608763535865319424,"Dana Moneter Internasional (IMF) memperkirakan 2023 bakal menjadi tahun yang lesu. Terasa seperti pil pahit bagi negara-negara berkembang yang belum puli benar dari perlambatan ekonomi akibat pandemi Covid-19.

#datanesia 
#resesi 
#whitepaperdatanesia https://t.co/EEQ3k17jH9",datanesia_id,in,"The International Monetary Fund (IMF) estimates that 2023 will be a slow year. This feels like a bitter pill for developing countries that have not recovered from the economic slowdown caused by the Covid-19 pandemic.

#datanesia
#recession
#whitepaperdatanesia https://t.co/EEQ3k17jH9",Negative,"{'neg': 0.127, 'neu': 0.816, 'pos': 0.057, 'compound': -0.4767}",dana moneter internasional imf memperkirakan bakal menjadi tahun yang lesu terasa seperti pil pahit bagi negaranegara berkembang yang belum puli benar dari perlambatan ekonomi akibat pandemi covid,"['dana', 'moneter', 'internasional', 'imf', 'lesu', 'pil', 'pahit', 'negaranegara', 'kembang', 'pul', 'lambat', 'ekonomi', 'akibat', 'pandemi', 'covid']",dana moneter internasional imf lesu pil pahit negaranegara kembang pul lambat ekonomi akibat pandemi covid
2022-12-30 08:30:02+00:00,1608742193329770501,3 Biang Keladi Penentu Ekonomi Global Masuk Jurang Resesi atau Tidak di 2023 https://t.co/sQ0prEEzv4,liputan6dotcom,in,3 Reasons Why the Global Economy Will Enter a Recession or Not in 2023 https://t.co/sQ0prEEzv4,Negative,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.4215}",biang keladi penentu ekonomi global masuk jurang resesi atau tidak di,"['biang', 'keladi', 'tentu', 'ekonomi', 'global', 'masuk', 'jurang', 'resesi']",biang keladi tentu ekonomi global masuk jurang resesi
2022-12-30 08:05:07+00:00,1608735923654758407,"Tahun 2023 mau ngapain? 

Mau ganti semua produk pake local product, at least biarpun resesi, tapi ekonomi dalam negeri tetap bergerak. Bukannya malah ngucurin dana ke negara orang ☺",ahn_hee_young,in,"What do you want to do in 2023?

I want to replace all products with local products, at least even though there is a recession, the domestic economy will still move. Instead of pouring funds into other people's countries ☺",Positive,"{'neg': 0.062, 'neu': 0.815, 'pos': 0.123, 'compound': 0.2023}",tahun mau ngapain mau ganti semua produk pake local product at least biarpun resesi tapi ekonomi dalam negeri tetap bergerak bukanya malah ngucurin dana ke negara orang ☺,"['ngapain', 'ganti', 'produk', 'pake', 'local', 'product', 'at', 'least', 'biarpun', 'resesi', 'ekonomi', 'negeri', 'gerak', 'buka', 'ngucurin', 'dana', 'negara', 'orang', '']",ngapain ganti produk pake local product at least biarpun resesi ekonomi negeri gerak buka ngucurin dana negara orang 
2022-12-30 06:35:19+00:00,1608713322697834498,Mantap.. Presiden Jokowi pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/zO3TOkutQa,deniangria,in,Great... President Jokowi ensures that Indonesia's economic condition is stable and ready to face the 2023 recession #JokowiPresidenku #PembangunanuntukPeople #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastructure https://t.co/zO3TOkutQa,Positive,"{'neg': 0.089, 'neu': 0.633, 'pos': 0.278, 'compound': 0.7184}",mantap presiden jokowi pastikan kondisi ekonomi indonesia stabil dan siap hadapi resesi,"['mantap', 'presiden', 'pasti', 'kondisi', 'ekonomi', 'indonesia', 'stabil', 'hadap', 'resesi']",mantap presiden pasti kondisi ekonomi indonesia stabil hadap resesi
2022-12-30 05:32:40+00:00,1608697555705270272,Hal ihwal kegentingan yang memaksa di Perppu juga ga masuk akal. Krisis/resesi ekonomi 2023 di Indonesia peluangnya kecil,maulanafawdi,in,The thing about the pressing urgency in the Perppu also doesn't make sense. There is little chance of an economic crisis/recession in 2023 in Indonesia,Positive,"{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.1796}",hal ihwal kegentingan yang memaksa di perpu juga ga masuk akal krisisresesi ekonomi di indonesia peluangnya kecil,"['ihwal', 'genting', 'paksa', 'perpu', 'masuk', 'akal', 'krisisresesi', 'ekonomi', 'indonesia', 'peluang']",ihwal genting paksa perpu masuk akal krisisresesi ekonomi indonesia peluang
2022-12-30 02:32:02+00:00,1608652098815811586,"Apindo Ingatkan Pemerintah Waspadai Resesi Tahun 2023: Tantangan ekonomi di fase perfect storm tahun depan nanti akan dihadapi oleh sejumlah negara, termasuk Indonesia. Pemerintah diminta untuk mewaspadai terjadinya resesi di tahun depan.

baca… https://t.co/mQQ5IYhQKG",RMOLJatim_id,in,"Apindo Reminds Government to Be Wary of Recession in 2023: A number of countries, including Indonesia, will face economic challenges in the perfect storm phase next year. The government has been asked to be wary of a recession next year.

read… https://t.co/mQQ5IYhQKG",Negative,"{'neg': 0.115, 'neu': 0.757, 'pos': 0.129, 'compound': -0.0772}",apindo ingatkan pemerintah waspadai resesi tahun tantangan ekonomi di fase perfect storm tahun depan nanti akan dihadapi oleh sejumlah negara termasuk indonesia pemerintah diminta untuk mewaspadai terjadinya resesi di tahun depan baca…,"['apindo', 'ingat', 'perintah', 'waspada', 'resesi', 'tantang', 'ekonomi', 'fase', 'perfect', 'storm', 'hadap', 'negara', 'indonesia', 'perintah', 'waspada', 'resesi', 'baca']",apindo ingat perintah waspada resesi tantang ekonomi fase perfect storm hadap negara indonesia perintah waspada resesi baca
2022-12-30 01:33:50+00:00,1608637453212192768,"Materi: 
• Product Insight
• Brand Building
• Brand DNA &amp; Brand Personality
Siapkan brand kamu untuk menghadapi isu resesi ekonomi 2023
Info detail : https://t.co/7U54vdnnbK",CilyaWonderland,in,"Material:
• Product Insights
• Brand Building
• Brand DNA & Brand Personality
Prepare your brand to face the issue of the 2023 economic recession
Detailed info: https://t.co/7U54vdnnbK",Negative,"{'neg': 0.094, 'neu': 0.906, 'pos': 0.0, 'compound': -0.4215}",materi • product insight • brand building • brand dna amp brand personality siapkan brand kamu untuk menghadapi isu resesi ekonomi info detail,"['materi', '', 'product', 'insight', '', 'brand', 'building', '', 'brand', 'dna', 'brand', 'personality', 'siap', 'brand', 'hadap', 'isu', 'resesi', 'ekonomi', 'info', 'detail']",materi  product insight  brand building  brand dna brand personality siap brand hadap isu resesi ekonomi info detail
2022-12-29 13:44:37+00:00,1608458974608920578,"5 Ramalan Ekonomi 2023, Resesi sampai Bangkrut Massal https://t.co/G745Tsdo2k",go_antonmail,in,"5 Economic Predictions for 2023, Recession to Mass Bankruptcy https://t.co/G745Tsdo2k",Negative,"{'neg': 0.237, 'neu': 0.763, 'pos': 0.0, 'compound': -0.4215}",ramalan ekonomi resesi sampai bangkrut masal,"['ramal', 'ekonomi', 'resesi', 'bangkrut', 'masal']",ramal ekonomi resesi bangkrut masal
2022-12-29 12:49:03+00:00,1608444989138255875,"Ekonomi 2023, Resesi Sampai Bangkrut Massal https://t.co/hGKXTu6SD8",ekspresnews,in,"Economy 2023, Recession to Mass Bankruptcy https://t.co/hGKXTu6SD8",Negative,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.4215}",ekonomi resesi sampai bangkrut masal,"['ekonomi', 'resesi', 'bangkrut', 'masal']",ekonomi resesi bangkrut masal
2022-12-29 12:39:25+00:00,1608442566214848514,"Apakah ini perasaan gue saja atau bukan ya, di era “pemulihan ekonomi” yg seharusnya ekonomi pulih u/ persiapan menghindari resesi 2023 justru jadi ajang “rebound”, bahkan meningkatkan harga2. Cth dampak nyata buat gue, Argo Parahyangan bisa tembus Rp150ribu menjelang tahun baru.",arief1997,in,"Is this just my feeling or not, in the era of ""economic recovery"" where the economy should be recovering in preparation for avoiding a recession in 2023, it is actually becoming a ""rebound"" event, even increasing prices. As a real impact for me, Argo Parahyangan can reach IDR 150 thousand before the new year.",Negative,"{'neg': 0.09, 'neu': 0.865, 'pos': 0.045, 'compound': -0.5574}",apakah ini perasan gue saja atau bukan ya di era “pemulihan ekonomi” yg seharusnya ekonomi pulih u persiapan menghindari resesi justru jadi ajang “rebound” bahkan meningkatkan harga contoh dampak nyata buat gue argo parahyangan bisa tembus rpribu menjelang tahun baru,"['peras', 'gue', 'era', '', 'pulih', 'ekonomi', '', 'ekonomi', 'pulih', 'siap', 'hindar', 'resesi', 'ajang', '', 'rebound', '', 'tingkat', 'harga', 'contoh', 'dampak', 'nyata', 'gue', 'argo', 'parahyangan', 'tembus', 'rpribu', 'jelang']",peras gue era  pulih ekonomi  ekonomi pulih siap hindar resesi ajang  rebound  tingkat harga contoh dampak nyata gue argo parahyangan tembus rpribu jelang
2022-12-29 12:25:12+00:00,1608438988683218944,"Dana Moneter Internasional (IMF) memperingatkan pada tahun 2023, resesi ekonomi bisa dialami oleh banyak negara. 

Jika terjadi resesi tahun depan, bagaimana kita harus mengelola keuangan untuk tahun depan? Apa hal-hal yang harus diperhatikan?

BESOK kami bahas di #RuangPublikKBR https://t.co/rUFLOaBM5g",beritaKBR,in,"The International Monetary Fund (IMF) warned that in 2023, many countries could experience an economic recession.

If a recession occurs next year, how should we manage finances for next year? What are the things to pay attention to?

TOMORROW we will discuss it at #RuangPublikKBR https://t.co/rUFLOaBM5g",Negative,"{'neg': 0.184, 'neu': 0.816, 'pos': 0.0, 'compound': -0.8156}",dana moneter internasional imf memperingatkan pada tahun resesi ekonomi bisa dialami oleh banyak negara jika terjadi resesi tahun depan bagaimana kita harus mengelola keuangan untuk tahun depan apa halhal yang harus diperhatikan besok kami bahas di,"['dana', 'moneter', 'internasional', 'imf', 'ingat', 'resesi', 'ekonomi', 'alami', 'negara', 'resesi', 'kelola', 'uang', 'halhal', 'perhati', 'besok', 'bahas']",dana moneter internasional imf ingat resesi ekonomi alami negara resesi kelola uang halhal perhati besok bahas
2022-12-29 11:18:08+00:00,1608422107641438211,Apindo Ungkap Kekuatan Besar Indonesia Hadapi Ancaman Resesi Ekonomi 2023 https://t.co/xHu8WobzMt,VIVAcoid,in,Apindo Reveals Indonesia's Great Strength to Face the Threat of Economic Recession in 2023 https://t.co/xHu8WobzMt,Positive,"{'neg': 0.253, 'neu': 0.449, 'pos': 0.298, 'compound': 0.2732}",apindo ungkap kekuatan besar indonesia hadapi ancaman resesi ekonomi,"['apindo', 'kuat', 'indonesia', 'hadap', 'ancam', 'resesi', 'ekonomi']",apindo kuat indonesia hadap ancam resesi ekonomi
2022-12-29 10:30:30+00:00,1608410120429670400,"2023 Resesi Ekonomi
Gua yang kuliah dibiayain ortu = 🙂🤝🏻",dvaakyla_,in,"2023 Economic Recession
My parents are paying for my studies = 🙂🤝🏻",Neutral,"{'neg': 0.13, 'neu': 0.744, 'pos': 0.126, 'compound': -0.024}",resesi ekonomi gua yang kuliah dibiayain ortu 🙂🤝🏻,"['resesi', 'ekonomi', 'gua', 'kuliah', 'dibiayain', 'ortu', '']",resesi ekonomi gua kuliah dibiayain ortu 
2022-12-29 08:11:22+00:00,1608375106086260736,"Kemarin di Bandung, sempat melihat butik Coach akan dibuka Januari 2023 di sebuah mal. Lalu Uniqlo sudah buka gerai sendiri di kawasan Jl. Riau. Ada juga bangunan resto baru Okinawa Sushi dekat situ.

Resesi ekonomi 2023? 🤔",Bataviase77,in,"Yesterday in Bandung, I saw that the Coach boutique would open in January 2023 in a mall. Then Uniqlo has opened its own outlet in the Jl. Riau. There is also a new Okinawa Sushi restaurant building nearby.

Economic recession 2023? 🤔",Negative,"{'neg': 0.062, 'neu': 0.938, 'pos': 0.0, 'compound': -0.4215}",kemarin di bandung sempat melihat butik coach akan dibuka januari di sebuah mal lalu uniqlo sudah buka gerai sendiri di kawasan jl riau ada juga bangunan resto baru okinawa sushi dekat situ resesi ekonomi 🤔,"['kemarin', 'bandung', 'butik', 'coach', 'buka', 'januari', 'mal', 'uniqlo', 'buka', 'gerai', 'kawasan', 'jl', 'riau', 'bangun', 'resto', 'okinawa', 'sushi', 'situ', 'resesi', 'ekonomi', '']",kemarin bandung butik coach buka januari mal uniqlo buka gerai kawasan jl riau bangun resto okinawa sushi situ resesi ekonomi 
2022-12-29 05:35:13+00:00,1608335810947948548,Pak Jokowi Hebat..  pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/LI2YfNITFw,TriandaAgustus,in,Mr. Jokowi is Great... ensure that Indonesia's economic condition is stable and ready to face the 2023 recession #JokowiPresidenku #PembangunanuntukPeople #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastructure https://t.co/LI2YfNITFw,Positive,"{'neg': 0.082, 'neu': 0.585, 'pos': 0.333, 'compound': 0.8225}",pak jokowi hebat pastikan kondisi ekonomi indonesia stabil dan siap hadapi resesi,"['hebat', 'pasti', 'kondisi', 'ekonomi', 'indonesia', 'stabil', 'hadap', 'resesi']",hebat pasti kondisi ekonomi indonesia stabil hadap resesi
2022-12-29 05:00:28+00:00,1608327067069992965,Menko Airlangga: Ekonomi kuat Indonesia modal hadapi resesi 2023 https://t.co/k9wW6yafMD https://t.co/FLtnLwcPIc,tegan_diego,in,Coordinating Minister Airlangga: Indonesia's strong economy is capital for facing recession in 2023 https://t.co/k9wW6yafMD https://t.co/FLtnLwcPIc,Positive,"{'neg': 0.147, 'neu': 0.681, 'pos': 0.173, 'compound': 0.128}",menko airlanga ekonomi kuat indonesia modal hadapi resesi,"['menko', 'airlanga', 'ekonomi', 'kuat', 'indonesia', 'modal', 'hadap', 'resesi']",menko airlanga ekonomi kuat indonesia modal hadap resesi
