Datetime,Tweet Id,Tweet,Username,Language,Tweet_clean,Tweet_preprocessed,Clean_Sentence,English,Sentiment,Composes
2022-12-30 02:32:02+00:00,1608652098815811586,"Apindo Ingatkan Pemerintah Waspadai Resesi Tahun 2023: Tantangan ekonomi di fase perfect storm tahun depan nanti akan dihadapi oleh sejumlah negara, termasuk Indonesia. Pemerintah diminta untuk mewaspadai terjadinya resesi di tahun depan.

baca… https://t.co/mQQ5IYhQKG",RMOLJatim_id,in,apindo ingatkan pemerintah waspadai resesi tahun tantangan ekonomi di fase perfect storm tahun depan nanti akan dihadapi oleh sejumlah negara termasuk indonesia pemerintah diminta untuk mewaspadai terjadinya resesi di tahun depan baca…,"['apindo', 'ingat', 'perintah', 'waspada', 'resesi', 'tantang', 'ekonomi', 'fase', 'perfect', 'storm', 'hadap', 'negara', 'indonesia', 'perintah', 'waspada', 'resesi', 'baca']",apindo ingat perintah waspada resesi tantang ekonomi fase perfect storm hadap negara indonesia perintah waspada resesi baca,"Apindo remembers the recession alert order, challenge the perfect storm phase of the economy towards the Indonesian state, read the recession alert order",Positive,"{'neg': 0.175, 'neu': 0.531, 'pos': 0.294, 'compound': 0.4215}"
2022-12-30 01:33:50+00:00,1608637453212192768,"Materi: 
• Product Insight
• Brand Building
• Brand DNA &amp; Brand Personality
Siapkan brand kamu untuk menghadapi isu resesi ekonomi 2023
Info detail : https://t.co/7U54vdnnbK",CilyaWonderland,in,materi • product insight • brand building • brand dna amp brand personality siapkan brand kamu untuk menghadapi isu resesi ekonomi info detail,"['materi', '', 'product', 'insight', '', 'brand', 'building', '', 'brand', 'dna', 'brand', 'personality', 'siap', 'brand', 'hadap', 'isu', 'resesi', 'ekonomi', 'info', 'detail']",materi  product insight  brand building  brand dna brand personality siap brand hadap isu resesi ekonomi info detail,material product insight brand building brand and brand personality ready for the brand to face the issue of economic recession detailed info,Negative,"{'neg': 0.111, 'neu': 0.791, 'pos': 0.099, 'compound': -0.0772}"
2022-12-29 13:44:37+00:00,1608458974608920578,"5 Ramalan Ekonomi 2023, Resesi sampai Bangkrut Massal https://t.co/G745Tsdo2k",go_antonmail,in,ramalan ekonomi resesi sampai bangkrut masal,"['ramal', 'ekonomi', 'resesi', 'bangkrut', 'masal']",ramal ekonomi resesi bangkrut masal,economic recession forecast mass bankruptcy,Negative,"{'neg': 0.412, 'neu': 0.588, 'pos': 0.0, 'compound': -0.4215}"
2022-12-29 12:49:03+00:00,1608444989138255875,"Ekonomi 2023, Resesi Sampai Bangkrut Massal https://t.co/hGKXTu6SD8",ekspresnews,in,ekonomi resesi sampai bangkrut masal,"['ekonomi', 'resesi', 'bangkrut', 'masal']",ekonomi resesi bangkrut masal,economic recession mass bankruptcy,Negative,"{'neg': 0.483, 'neu': 0.517, 'pos': 0.0, 'compound': -0.4215}"
2022-12-29 12:39:25+00:00,1608442566214848514,"Apakah ini perasaan gue saja atau bukan ya, di era “pemulihan ekonomi” yg seharusnya ekonomi pulih u/ persiapan menghindari resesi 2023 justru jadi ajang “rebound”, bahkan meningkatkan harga2. Cth dampak nyata buat gue, Argo Parahyangan bisa tembus Rp150ribu menjelang tahun baru.",arief1997,in,apakah ini perasan gue saja atau bukan ya di era “pemulihan ekonomi” yg seharusnya ekonomi pulih u persiapan menghindari resesi justru jadi ajang “rebound” bahkan meningkatkan harga contoh dampak nyata buat gue argo parahyangan bisa tembus rpribu menjelang tahun baru,"['peras', 'gue', 'era', '', 'pulih', 'ekonomi', '', 'ekonomi', 'pulih', 'siap', 'hindar', 'resesi', 'ajang', '', 'rebound', '', 'tingkat', 'harga', 'contoh', 'dampak', 'nyata', 'gue', 'argo', 'parahyangan', 'tembus', 'rpribu', 'jelang']",peras gue era  pulih ekonomi  ekonomi pulih siap hindar resesi ajang  rebound  tingkat harga contoh dampak nyata gue argo parahyangan tembus rpribu jelang,"Squeeze me in the era of recovering the economy, the economy is recovering, ready to avoid a recession, a rebound in the price level, an example of my real impact, the meter is too high to break through 10,000 ahead of the thousand",Negative,"{'neg': 0.105, 'neu': 0.842, 'pos': 0.053, 'compound': -0.3612}"
2022-12-29 12:25:12+00:00,1608438988683218944,"Dana Moneter Internasional (IMF) memperingatkan pada tahun 2023, resesi ekonomi bisa dialami oleh banyak negara. 

Jika terjadi resesi tahun depan, bagaimana kita harus mengelola keuangan untuk tahun depan? Apa hal-hal yang harus diperhatikan?

BESOK kami bahas di #RuangPublikKBR https://t.co/rUFLOaBM5g",beritaKBR,in,dana moneter internasional imf memperingatkan pada tahun resesi ekonomi bisa dialami oleh banyak negara jika terjadi resesi tahun depan bagaimana kita harus mengelola keuangan untuk tahun depan apa halhal yang harus diperhatikan besok kami bahas di,"['dana', 'moneter', 'internasional', 'imf', 'ingat', 'resesi', 'ekonomi', 'alami', 'negara', 'resesi', 'kelola', 'uang', 'halhal', 'perhati', 'besok', 'bahas']",dana moneter internasional imf ingat resesi ekonomi alami negara resesi kelola uang halhal perhati besok bahas,international monetary fund imf remember natural economic recession recession country manage money matters of concern tomorrow to discuss,Negative,"{'neg': 0.241, 'neu': 0.603, 'pos': 0.155, 'compound': -0.4588}"
2022-12-29 11:18:08+00:00,1608422107641438211,Apindo Ungkap Kekuatan Besar Indonesia Hadapi Ancaman Resesi Ekonomi 2023 https://t.co/xHu8WobzMt,VIVAcoid,in,apindo ungkap kekuatan besar indonesia hadapi ancaman resesi ekonomi,"['apindo', 'kuat', 'indonesia', 'hadap', 'ancam', 'resesi', 'ekonomi']",apindo kuat indonesia hadap ancam resesi ekonomi,"Apindo is strong, Indonesia faces the threat of an economic recession",Negative,"{'neg': 0.354, 'neu': 0.457, 'pos': 0.189, 'compound': -0.4404}"
2022-12-29 10:30:30+00:00,1608410120429670400,"2023 Resesi Ekonomi
Gua yang kuliah dibiayain ortu = 🙂🤝🏻",dvaakyla_,in,resesi ekonomi gua yang kuliah dibiayain ortu 🙂🤝🏻,"['resesi', 'ekonomi', 'gua', 'kuliah', 'dibiayain', 'ortu', '']",resesi ekonomi gua kuliah dibiayain ortu ,My parents paid for the economic recession to go to college,Negative,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.4215}"
2022-12-29 08:11:22+00:00,1608375106086260736,"Kemarin di Bandung, sempat melihat butik Coach akan dibuka Januari 2023 di sebuah mal. Lalu Uniqlo sudah buka gerai sendiri di kawasan Jl. Riau. Ada juga bangunan resto baru Okinawa Sushi dekat situ.

Resesi ekonomi 2023? 🤔",Bataviase77,in,kemarin di bandung sempat melihat butik coach akan dibuka januari di sebuah mal lalu uniqlo sudah buka gerai sendiri di kawasan jl riau ada juga bangunan resto baru okinawa sushi dekat situ resesi ekonomi 🤔,"['kemarin', 'bandung', 'butik', 'coach', 'buka', 'januari', 'mal', 'uniqlo', 'buka', 'gerai', 'kawasan', 'jl', 'riau', 'bangun', 'resto', 'okinawa', 'sushi', 'situ', 'resesi', 'ekonomi', '']",kemarin bandung butik coach buka januari mal uniqlo buka gerai kawasan jl riau bangun resto okinawa sushi situ resesi ekonomi ,yesterday bandung coach boutique opened january uniqlo mall opened outlets area jl riau built okinawa sushi restaurant economic recession,Negative,"{'neg': 0.135, 'neu': 0.865, 'pos': 0.0, 'compound': -0.4215}"
2022-12-29 05:35:13+00:00,1608335810947948548,Pak Jokowi Hebat..  pastikan kondisi ekonomi RI stabil dan siap hadapi resesi 2023 #JokowiPresidenku #PembangunanUntukRakyat #PresidenJokowiHebat #JokowiMembangunNegeri #JokowiMajuBersamaIndonesia #JokowiBapakInfrastruktur https://t.co/LI2YfNITFw,TriandaAgustus,in,pak jokowi hebat pastikan kondisi ekonomi indonesia stabil dan siap hadapi resesi,"['hebat', 'pasti', 'kondisi', 'ekonomi', 'indonesia', 'stabil', 'hadap', 'resesi']",hebat pasti kondisi ekonomi indonesia stabil hadap resesi,It's great that Indonesia's economic condition is stable in the face of a recession,Positive,"{'neg': 0.139, 'neu': 0.547, 'pos': 0.313, 'compound': 0.5423}"
2022-12-29 05:00:28+00:00,1608327067069992965,Menko Airlangga: Ekonomi kuat Indonesia modal hadapi resesi 2023 https://t.co/k9wW6yafMD https://t.co/FLtnLwcPIc,tegan_diego,in,menko airlanga ekonomi kuat indonesia modal hadapi resesi,"['menko', 'airlanga', 'ekonomi', 'kuat', 'indonesia', 'modal', 'hadap', 'resesi']",menko airlanga ekonomi kuat indonesia modal hadap resesi,"Coordinating Minister for Airlangga, Indonesia's strong economy, capital, facing recession",Positive,"{'neg': 0.199, 'neu': 0.567, 'pos': 0.234, 'compound': 0.128}"
2022-12-29 04:46:59+00:00,1608323672867213312,"[HASIL KAJIAN KASTRA]

Hasil Kajian FDI (Forum Diskusi Industri) dengan tema
""Skenario Perekonomian dalam Rangka Mitigasi Resesi Ekonomi 2023""

Hasil kajian Forum Diskusi Industri dapat di akses melalui
link berikut:
https://t.co/limCzb1nt2 https://t.co/UijpXvRMRN",hmti_ftuh,in,hasil kajian kastra hasil kajian fdi forum diskusi industri dengan tema skenario perekonomian dalam rangka mitigasi resesi ekonomi hasil kajian forum diskusi industri dapat di akses melalui link berikut,"['hasil', 'kaji', 'kastra', 'hasil', 'kaji', 'fdi', 'forum', 'diskusi', 'industri', 'tema', 'skenario', 'ekonomi', 'rangka', 'mitigasi', 'resesi', 'ekonomi', 'hasil', 'kaji', 'forum', 'diskusi', 'industri', 'akses', 'link']",hasil kaji kastra hasil kaji fdi forum diskusi industri tema skenario ekonomi rangka mitigasi resesi ekonomi hasil kaji forum diskusi industri akses link,Kastra study results FDI research forum industry discussion themes economic scenarios for mitigating economic recession research results industrial discussion forums link access,Negative,"{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.4215}"
2022-12-29 02:43:50+00:00,1608292679195967489,"Masik mau ribut?

Hambok mikir gess, 2023 suda di depan mata yg katanya bakal ada anceman resesi ekonomi, mosok mau gtu terus?",degreatiskandar,in,masik mau ribut hambok mikir ges suda di depan mata yg katanya bakal ada anceman resesi ekonomi mosok mau gtu terus,"['masik', 'ribut', 'hambok', 'mikir', 'ges', 'suda', 'mata', 'anceman', 'resesi', 'ekonomi', 'mosok', 'gtu']",masik ribut hambok mikir ges suda mata anceman resesi ekonomi mosok gtu,"it's still noisy, mbok thinks that the threat of an economic recession is tomorrow",Negative,"{'neg': 0.418, 'neu': 0.582, 'pos': 0.0, 'compound': -0.7845}"
2022-12-29 02:24:42+00:00,1608287867876302850,"Erick Thohir
Yakin 2023 Ekonomi Indonesia Tetap Cerah
Hadapi resesi perekonomian Indonesia diyakini @erickthohir akan tetap tumbuh lima persen
#indonesiamaju #indonesiamerdeka #bumnuntuknegeri #bumnuntukindonesia #bumn  #erthoforwapres  #erickthohirwapres #erickthohirsolusirakyat https://t.co/eEvhlN1rAy",merryround3,in,erick thohir yakin ekonomi indonesia tetap cerah hadapi resesi perekonomian indonesia diyakini akan tetap tumbuh lima persen,"['ekonomi', 'indonesia', 'cerah', 'hadap', 'resesi', 'ekonomi', 'indonesia', 'yakin', 'tumbuh', 'persen']",ekonomi indonesia cerah hadap resesi ekonomi indonesia yakin tumbuh persen,Indonesia's economy is bright in the face of recession. Indonesia's economy is sure to grow one percent,Positive,"{'neg': 0.127, 'neu': 0.636, 'pos': 0.236, 'compound': 0.34}"
